stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee,billed_adder_notes,billed_adder_other,cb_date,cb_report,clear_date,cleared_by,client_no,co_install_y_n,conflict_repair_date,crew_lead,crew_tech,depth_1,depth_2,depth_3,depth_4,depth_5,desc_1,desc_2,desc_3,desc_4,desc_5,dig_hrs,dig_y_n,dir_lat_frm_mh,dist_1,dist_2,dist_3,dist_4,dist_5,dist_mh_to_lat,door_tag_date1,door_tag_date2,door_tag_date3,end_mh,field_notes,gas_main_clr_date,gas_main_clr_method,gas_service_clr_date,gas_service_clr_method,inspection_hourly,inspection_type,inspector,lat_inspection_push_camera_ea,latitude,longitude,measurements_y_n,no_videos_today,no_videos_total,notes_doortag,notes_extra,num_of_co_installs,phase,photo_map,pipe_complete,project_no,pv_stage,qa_comments_1,qa_comments_2,qa_comments_3,qa_name,qa_pass_fail_1,qa_pass_fail_2,qa_pass_fail_3,qc_comments_1,qc_comments_2,qc_comments_3,qc_date_1,qc_date_2,qc_date_3,qc_name_1,qc_name_2,qc_name_3,qc_p_f_1,qc_p_f_2,qc_p_f_3,ref_1,ref_2,ref_3,ref_4,ref_5,rerun_deadline,rerun_y_n,sanitary_main_cleaning_lf,sanitary_main_inspection_lf,sewer_lat_inspection_lat_launch_ea,sewer_lateral_cleaning_lf,sewer_ml_ft,sewer_type,site_photos,start_mh,state,status_update,storm_main_cleaning_lf,storm_main_inspection_lf,street_direction,time,to_bldg,utility_type,video_1,video_2,video_3,video_date_1,video_date_2,video_date_3,video_device_1,video_device_2,video_device_3,video_type,video_url,video_url_2,video_url_3
GAS LINE,2025-05-06,,,,SW FRANKLIN AVE,TOPEKA ,,,,,,2025/05/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.0613,-95.7019,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/06,,,South,16:48,,1,,,,,,,,,,,,,
COMPLETE,2025-06-06,,407,,RIVER ST,COMMERCE,,,,,,2025/06/06,2400,5TH AND RIVER,,,James Atwood,Michael Parrish,0,0,,,,C/O,END,,,,,,,0,81.3,,,,,,,,,,2025/06/06,PO,2025/06/06,PO,,Post,SCOTT.LOVELADY@ONEGAS.COM ,1,36.9385,-94.8743,yes,1,1,,CLEAR / NO CONFLICT,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_38f4cb_cdv_photo_000_1749233112684.jpg"",""rid"":38809505,""lid"":""6728851"",""fid"":""945"",""field"":""photo_map"",""title"":""mdc_photo_mdc_38f4cb_cdv_photo_000_1749233112684.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0406,COMPLETE,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,Lateral Inspection,,,OK,2025/06/06,,,North,13:01,,2,James Atwood,,,2025/06/06,,,2400 PO,,,Push Camera,,,
GAS LINE,2025-05-07,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9778,-95.6836,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/07,,,South,08:08,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9778,-95.6836,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,South,08:09,,1,,,,,,,,,,,,,
GAS LINE,2025-06-06,,,,98TH ST ,LENEXA ,,,,,,2025/06/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9548,-94.7909,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/06/06,,,West,13:29,,1,,,,,,,,,,,,,
GAS LINE,2025-05-09,,330,,ATHENIAN AVE,WICHITA ,,,,,,2025/05/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,37.6884,-97.3666,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/09,,,North,09:20,,1,,,,,,,,,,,,,
RECON,2025-05-06,,300 ,,SW FRANKLIN AVE,TOPEKA ,,,,,,2025/05/06,1800,PW-24R2-TOPEKA 2ND AND ORCHARD ,,,Eric Zerr,Carter Pacheco,,,,,,,,,,,,No,,,,,,,,,,,,,2025/05/06,LETS,2025/05/06,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.0614,-95.7012,no,,,,,,One Gas,,N/A,0406,RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Inspection,,301 SW LINDENWOOD AVE ,KS,2025/05/06,,,,16:26,,2,N/A,,,,,,N/A,,,Lateral Launch,,,
COMPLETE,2025-06-05,,MH 9403 MOODY PARK DR ,,MOODY PARK DR,OVERLAND PARK ,,,,,,2025/06/05,1800,SOUTHDALE/95 AND NEIMAN ,,,Eric Zerr,,0,0,,,,START,END,,,,,,,0,204.8,,,,,,,,MH 9309 MOODY PARK DR,,2025/06/05,LETS,,,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9587,-94.701,yes,1,1,,TECH IS CHRIS. VIDEO DEVICE 1 IS 1800ML,,One Gas,,Yes,0403,COMPLETE,,,,,,,,,,,2025/06/05,,,Katy Thompson,,,Pass,,,A,B,,,,,,204.8,204.8,0,,204.8,Main Inspection,,MH 9403 MOODY PARK DR ,KS,2025/06/05,,,,11:43,MH 9309 MOODY PARK DR,2,Eric Zerr,,,2025/06/05,,,N/A,,,CCTV,https://pioneer.sewerai.com/dashboard/review/bdc6159c-071a-46c6-89db-9ba17c659833?t=1.894968&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&status=uploaded&client_reviewed=false,,
COMPLETE,2025-05-07,,600,,THURSTON ST,MANHATTAN,,,,,,2025/05/07,2400,BERTRAND / N 6 ST ,,,Edgar Atwood,Tiffanie Gibson,0,65,0,0,,TAP,GMI,3T,END,,,No,North,11.4,4.4,73.1,78.8,,11.4,,,,,,2025/05/07,LETS,2025/05/07,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,39.1904,-96.5648,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_184678_cdv_photo_002_1746629416133.jpg"",""rid"":38466114,""lid"":""6728851"",""fid"":""636"",""field"":""photo_map"",""title"":""mdc_photo_mdc_184678_cdv_photo_002_1746629416133.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,"POOR VISUAL DEBRIS ON LENS MAKES VIEW BLURRY, MORE CLEAR ON PULLBACK, GMI CLEAR",,,2025/05/07,,,Katy Thompson,,,Pass,,,A,B,C,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_59df48_cdv_photo_001_1746629332951.jpg"",""rid"":38466095,""lid"":""6728851"",""fid"":""636"",""field"":""site_photos"",""title"":""mdc_photo_mdc_59df48_cdv_photo_001_1746629332951.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 1100 N 6TH ST,KS,2025/05/07,,,North,09:36,A,2,Edgar Atwood,,,2025/05/07,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/b762df77-6d7a-440e-9040-6a31f76f5083?t=1.965045&limit=30&offset=0&project=25PV0406+ONE+GAS+&client_reviewed=false,,
COMPLETE NO BILL,2025-08-04,,1503 D ,,S Halen St,Monahans ,,,,,,2025/08/04,---------------------,15Th St Monaghan ,,,---------------------,---------------------,0,0.38,,,,End,GMI,,,,,No,,24,15,,,,,,,,,,2025/08/04,PO,2025/08/04,PO,,Post,Z,1,31.578,-102.897,yes,1,1,,"08/01/2025 
Truck5100
Christian E- Derek K ",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_5a483b_cdv_photo_017_1754326448848.jpg"",""rid"":39593920,""lid"":""6728851"",""fid"":""960"",""field"":""photo_map"",""title"":""mdc_photo_mdc_5a483b_cdv_photo_017_1754326448848.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_1d0cdc_cdv_photo_015_1754326448848.jpg"",""rid"":39593918,""lid"":""6728851"",""fid"":""960"",""field"":""site_photos"",""title"":""mdc_photo_mdc_1d0cdc_cdv_photo_015_1754326448848.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_f918ed_cdv_photo_016_1754326448848.jpg"",""rid"":39593919,""lid"":""6728851"",""fid"":""960"",""field"":""site_photos"",""title"":""mdc_photo_mdc_f918ed_cdv_photo_016_1754326448848.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/04,,,,11:50,,2,---------------------,,,2025/08/04,,,SW2,,,Push Camera,,,
COMPLETE,2025-06-02,,9403,,MOODY PARK DR ,OVERLAND PARK ,,,,,,2025/06/02,1800,SOUTHDALE/95 AND NEIMAN ,,,Edgar Atwood,Carter Pacheco,0,0,,,,TAP,END,,,,,No,North,147.7,59,,,,147.7,,,,,,2025/06/02,LETS,2025/06/02,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9582,-94.7011,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_23cb5f_cdv_photo_002_1748892738216.jpg"",""rid"":38750110,""lid"":""6728851"",""fid"":""799"",""field"":""photo_map"",""title"":""mdc_photo_mdc_23cb5f_cdv_photo_002_1748892738216.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,,,,,,,,,,,2025/06/02,,,Katy Thompson,,,Pass,,,A,,,,,,,,,1,,,Lateral Inspection,,MH 9411 MOODY PARK DR ,KS,2025/06/02,,,,14:27,,2,Edgar Atwood,,,2025/06/02,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/0ce25b07-b7a9-4e29-8ef2-586bc4c3b2aa?t=4.607047&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&client_reviewed=false,,
COMPLETE NO BILL,2025-08-04,,1509,,S Helen St,Monahans,,,,,,2025/08/04,4600,One Gas,,,Jason Claunch,Kyle Graham ,,,,,,End,,,,,,,,30.1,,,,,,,,,,,2025/08/04,PO,2025/08/04,PO,,Post,One Gas,1,32.3058,-102.542,yes,1,1,,8/4/2025 4600 pushed from CO to secondary main. This is clear,,One Gas,,N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_58339b_cdv_photo_030_1754397792880.jpg"",""rid"":39606534,""lid"":""6728851"",""fid"":""993"",""field"":""site_photos"",""title"":""mdc_photo_mdc_58339b_cdv_photo_030_1754397792880.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_534b5f_cdv_photo_034_1754397792880.jpg"",""rid"":39606535,""lid"":""6728851"",""fid"":""993"",""field"":""site_photos"",""title"":""mdc_photo_mdc_534b5f_cdv_photo_034_1754397792880.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/04,,,,07:38,D,2,Kyle Graham ,,,2025/08/04,,,-----------------,,,Push Camera,,,
COMPLETE,2025-06-02,,213 ,,RIVER ST,COMMERCE ,,,,,,2025/06/02,2400,5TH AND RIVER,,,James Atwood,Michael Parrish,0,0,,,,C/O,END,,,,,,,0,60,,,,,,,,,NO GAS CROSSINGS ,2025/06/02,PO,2025/06/02,PO,,Post,SCOTT.LOVELADY@ONEGAS.COM ,1,36.9362,-94.8748,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_40a6a5_cdv_photo_006_1748892918198.jpg"",""rid"":38750117,""lid"":""6728851"",""fid"":""800"",""field"":""photo_map"",""title"":""mdc_photo_mdc_40a6a5_cdv_photo_006_1748892918198.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0406,COMPLETE,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,Lateral Inspection,,,OK,2025/06/02,,,North,14:29,,2,N/A,,,,,,N/A,,,Push Camera,,,
GAS LINE,2025-08-06,,7709,,Veracruz Ave,,,,,,,2025/08/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7472,-106.358,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/06,,,,10:58,Gas Service,1,,,,,,,,,,,,,
RECON,2025-06-05,,,,,,,,,,,,,VISTA VILLAGE (PRAIRIE STAR PKWY/RIDGEVIEW) ,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9547,-94.791,,,,,,,One Gas,,N/A,0406,RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Inspection,,,,2025/06/05,,,,,,3,N/A,,,,,,N/A,,,,,,
GAS LINE,2025-05-09,,,,,,,,,,,2025/05/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,37.6884,-97.3666,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/09,,,,11:00,,1,,,,,,,,,,,,,
COMPLETE,2025-06-05,,17551,,PRAIRIE STAR PKWY ,LENEXA ,,,,,,2025/06/05,1800,VISTA VILLAGE (PRAIRIE STAR PKWY/RIDGEVIEW) ,,,Eric Zerr,Carter Pacheco,0,0,,,,TAP,END,,,,,No,North,66.8,32.2,,,,66.8,,,,,,2025/06/05,LETS,2025/06/05,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9536,-94.7925,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_9b46ed_cdv_photo_005_1749152522208.jpg"",""rid"":38797534,""lid"":""6728851"",""fid"":""901"",""field"":""photo_map"",""title"":""mdc_photo_mdc_9b46ed_cdv_photo_005_1749152522208.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,,,,,N/A,,,,,,2025/06/06,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 17551 PRAIRIE STAR PKWY ,KS,2025/06/05,,,,14:35,A,2,Eric Zerr,,,2025/06/05,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/a26d9f6b-e7bc-4ec0-9743-995e2a390cf7?t=5.301157&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&ordering=-Inspection_Date&client_reviewed=false&city=LENEXA,,
GAS LINE,2025-05-07,,,,,,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5648,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/07,,,,11:45,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,531,,BERTRAND ST,MANHATTAN,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5646,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,11:48,,1,,,,,,,,,,,,,
COMPLETE,2025-05-08,,401,,1ST AVE,HUTCHINSON ,,,,,,2025/05/08,2400,PW-23R3-HUTCHINSON-SHERMAN AND MADISON ,,,Edgar Atwood,Michael Parrish,0,0,,,,TAP,END 9T,,,,,,West,26,2.6,,,,26,,,,,,2025/05/08,LETS,2025/05/08,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.0528,-97.9392,yes,1,1,,,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_9687db_cdv_photo_000_1746711817635.jpg"",""rid"":38479560,""lid"":""6728851"",""fid"":""684"",""field"":""photo_map"",""title"":""mdc_photo_mdc_9687db_cdv_photo_000_1746711817635.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,,,,2025/05/16,,,Katy Thompson,,,Pass,,,A,,,,,,,,,1,,,Lateral Inspection,,MH 400 W SHERMAN ST ,KS,2025/05/08,,,West,08:35,,2,Edgar Atwood,,,2025/05/08,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/9f28aea9-de60-4043-943c-46a555990ab0?t=0&limit=30&offset=0&project=25PV0406+ONE+GAS+&client_reviewed=false,,
GAS LINE,2025-06-02,,210,,QUINCY ST,COMMERCE ,,,,,,2025/06/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9362,-94.8748,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/02,,,North,14:14,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,527,,BERTRAND ST,MANHATTAN ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1905,-96.5645,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,11:58,,1,,,,,,,,,,,,,
GAS LINE,2025-05-08,,,,,HUTCHINSON ,,,,,,2025/05/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.0519,-97.9408,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/08,,,,08:41,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,526,,THURSTON ST,MANHATTAN,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5644,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,11:56,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,1107,,5TH ST,MANHATTAN ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5639,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,North,12:13,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,505,,BERTRAND ST,MANHATTAN,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5636,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,12:15,,1,,,,,,,,,,,,,
COMPLETE,2025-06-02,,9415,,MOODY PARK DR,OVERLAND PARK ,,,,,,2025/06/02,1800,SOUTHDALE/95 AND NEIMAN,,,Edgar Atwood,Carter Pacheco,0,0,,,,TAP,END,,,,,No,South,55.7,38.6,,,,55.7,,,,,,2025/06/02,LETS,2025/06/02,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9582,-94.7011,yes,1,1,,NO GAS CROSSING,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_947d2a_cdv_photo_002_1748883508245.jpg"",""rid"":38747961,""lid"":""6728851"",""fid"":""777"",""field"":""photo_map"",""title"":""mdc_photo_mdc_947d2a_cdv_photo_002_1748883508245.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,,,,,,,,,,,2025/06/03,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 9411 MOODY PARK DR ,KS,2025/06/02,,,,10:49,,2,Edgar Atwood,,,2025/06/02,,,1800 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/3d445403-4ed1-4c7d-8e5a-566bcdb2df0b?t=1.180592&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&client_reviewed=false,,
GAS LINE,2025-05-07,,1101,,5TH ST,MANHATTAN,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5641,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,North,12:22,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,520,,THURSTON ST,MANHATTAN ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1904,-96.5644,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,12:00,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,510,,THURSTON ST,MANHATTAN,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1903,-96.5638,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,12:18,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,519,,BERTRAND ST,MANHATTAN ST,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1905,-96.5648,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,,15:09,,1,,,,,,,,,,,,,
GAS LINE,2025-06-02,,9403,,MOODY PARK DR ,OVERLAND PARK ,,,,,,2025/06/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9582,-94.7011,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/06/02,,,,14:25,,1,,,,,,,,,,,,,
COMPLETE NO BILL,2025-08-04,,1503 E,,S Halen St,Monahans ,,,,,,2025/08/04,---------------------,15Th St Monaghan ,,,---------------------,---------------------,0,0.39,,,,End,GMI,,,,,No,,23,17,,,,,,,,,,2025/08/04,PO,2025/08/04,PO,,Post,Z,1,31.578,-102.897,yes,1,1,,"08/04/2025
Christian E- Derek K
Truck5100 ",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_317ad7_cdv_photo_019_1754326845202.jpg"",""rid"":39594036,""lid"":""6728851"",""fid"":""961"",""field"":""photo_map"",""title"":""mdc_photo_mdc_317ad7_cdv_photo_019_1754326845202.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_e07caf_cdv_photo_018_1754326845202.jpg"",""rid"":39594035,""lid"":""6728851"",""fid"":""961"",""field"":""site_photos"",""title"":""mdc_photo_mdc_e07caf_cdv_photo_018_1754326845202.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/04,,,,11:55,,2,---------------------,,,2025/08/04,,,SW2,,,Push Camera,,,
GAS LINE,2025-05-07,,1100,,6TH ST,MANHATTAN ,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1903,-96.5649,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/07,,,North,11:51,,1,,,,,,,,,,,,,
COMPLETE NO BILL,2025-08-04,,1509,,S Helen St,Monahans,,,,,,2025/08/04,4600,One Gas,,,Jarrod Hardy,Kyle Graham ,,,,,,End,,,,,,,,29,,,,,,,,,,,2025/08/04,PO,2025/08/04,PO,,Post,One Gas,1,32.3091,-102.544,yes,1,1,,8/4/2025 4600,,One Gas,,N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral Inspection,,,TX,2025/08/04,,,,07:44,C,2,N/A,,,,,,N/A,,,Push Camera,,,
GAS LINE,2025-08-05,,200 ,,Sw ave i,Andrews,,,,,,2025/08/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,32.3085,-102.544,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,2025/08/05,,,South,08:52,,1,,,,,,,,,,,,,
GAS LINE,2025-05-08,,,,,,,,,,,2025/05/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.0528,-97.9392,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/08,,,,08:17,,1,,,,,,,,,,,,,
COMPLETE NO BILL,2025-08-04,,1503 B,,S Halen St,Monahans ,,,,,,2025/08/04,---------------------,15TH ST Monaghan ,,,---------------------,---------------------,0,,,,,End,,,,,,No,,80,,,,,,,,,,,2025/08/04,PO,2025/08/04,PO,,Post,Z,1,31.578,-102.897,yes,1,1,,"08/01/2025 
Truck5100
Christian E- Derek K ",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_fb02be_cdv_photo_021_1754327212965.jpg"",""rid"":39594139,""lid"":""6728851"",""fid"":""962"",""field"":""photo_map"",""title"":""mdc_photo_mdc_fb02be_cdv_photo_021_1754327212965.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_9e8261_cdv_photo_020_1754327212965.jpg"",""rid"":39594138,""lid"":""6728851"",""fid"":""962"",""field"":""site_photos"",""title"":""mdc_photo_mdc_9e8261_cdv_photo_020_1754327212965.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/04,,,,12:04,,2,N/A,,,,,,N/A,,,Push Camera,,,
